gene,DFB_A,DFB_B,Fe_A,Fe_B
Ga0401699_0500353_3_1382_Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate,3.634241186,4.504991522,6.988643718,4.129120462
Ga0401699_0500364_2_259_Catalyzes the NAD -dependent oxidation of L-threonine to 2-amino-3-ketobutyrate,0,0,0,0
Ga0401699_0013200_3434_4966_Belongs to the aldehyde dehydrogenase family,20.89688682,19.14621397,22.71309208,32.00068358
Ga0401699_0500391_1_1383_Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,5.451361778,3.378743641,2.620741394,5.161400577
Ga0401699_0500396_3_737_Dehydrogenase E1 component,0,0,0,0
Ga0401699_0500396_737_1381_The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2,0.908560296,1.12624788,1.747160929,0
Ga0401699_0500509_72_863_Heme copper-type cytochrome quinol oxidase_ subunit 3,1.817120593,4.504991522,2.620741394,6.193680693
Ga0401699_0500511_3_1214_Acyl-CoA dehydrogenase_ C-terminal domain,3.634241186,6.757487283,7.862224183,7.225960808
Ga0401699_0500603_28_375_COG2141 Coenzyme F420-dependent N5_N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases,0,4.504991522,1.747160929,3.096840346
Ga0401699_0500609_322_918_Involved in iron-sulfur cluster biogenesis. Binds a 4Fe- 4S cluster_ can transfer this cluster to apoproteins_ and thereby intervenes in the maturation of Fe S proteins. Could also act as a scaffold chaperone for damaged Fe S proteins,1.817120593,0,0.873580465,7.225960808
Ga0401699_0500610_855_1382_FAD linked oxidases_ C-terminal domain,4.542801482,1.12624788,1.747160929,7.225960808
Ga0401699_0500706_206_1381_Isocitrate dehydrogenase,0,1.12624788,0,0
Ga0401699_0500721_78_1289_COG1454 Alcohol dehydrogenase class IV,6.359922075,5.631239402,2.620741394,4.129120462
Ga0401699_0500724_3_308_The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO2,12.71984415,20.27246185,23.58667255,13.4196415
Ga0401699_0013208_3623_5791_Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,8.177042668,11.2624788,10.48296558,16.51648185
Ga0401699_0500761_1_465_FAD linked,0,0,0.873580465,0
Ga0401699_0500782_22_1380_cytochrome p450,0,2.252495761,4.367902324,1.032280115
Ga0401699_0500813_660_1133_NifU-like N terminal domain,1.817120593,2.252495761,14.8508679,12.38736139
Ga0401699_0500815_769_1149_A scaffold on which IscS assembles Fe-S clusters. It is likely that Fe-S cluster coordination is flexible as the role of this complex is to build and then hand off Fe-S clusters,7.268482371,12.38872668,23.58667255,13.4196415
Ga0401699_0013213_2097_3668_Chlorophyllide reductase subunit Y,6.359922075,5.631239402,14.8508679,19.61332219
Ga0401699_0013213_3668_5155_chlorophyllide reductase subunit Z,0.908560296,0,9.609385112,12.38736139
Ga0401699_0013213_5679_5843_Antenna complexes are light-harvesting systems_ which transfer the excitation energy to the reaction centers,15.44552504,42.79741946,79.49582229,70.19504785
Ga0401699_0013213_5952_6737_Photosynthetic reaction centre protein,9.085602964,3.378743641,34.06963812,23.74244266
Ga0401699_0013216_524_1687_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient,10.90272356,3.378743641,23.58667255,23.74244266
Ga0401699_0500975_516_1382_FAD dependent oxidoreductase,0.908560296,2.252495761,0.873580465,0
Ga0401699_0501005_1_1110_Is involved in NO detoxification in an aerobic process_ termed nitric oxide dioxygenase NOD reaction that utilizes O2 and NADPH to convert NO to nitrate_ which protects the bacterium from various noxious nitrogen compounds. Therefore_ plays a central role in the inducible response to nitrosative stress,4.542801482,0,2.620741394,2.064560231
Ga0401699_0501017_1059_1382_Ferredoxin,0.908560296,0,0,0
Ga0401699_0501030_171_1100_Catalyzes the reversible oxidation of malate to oxaloacetate,41.79377364,51.8074025,28.82815534,53.678566
Ga0401699_0501046_7_1380_Aldehyde dehydrogenase family,0.908560296,13.51497457,5.241482788,6.193680693
Ga0401699_0501086_486_1367_Aconitate hydratase,8.177042668,1.12624788,14.8508679,6.193680693
Ga0401699_0501288_1_498_Catalyzes the cleavage of beta-carotene at its central double bond 15_15 to yield two molecules of all-trans-retinal,2.725680889,0,3.494321859,5.161400577
Ga0401699_0501330_2_1234_CoA-transferase family III,5.451361778,5.631239402,0,0
Ga0401699_0501388_309_1289_Heme copper-type cytochrome quinol oxidase subunit 3,8.177042668,10.13623092,5.241482788,4.129120462
Ga0401699_0501417_3_734_Nitroreductase family,13.62840445,7.883735163,26.20741394,20.64560231
Ga0401699_0501437_51_1379_The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane,7.268482371,3.378743641,0.873580465,0
Ga0401699_0013227_107_892_it plays a direct role in the translocation of protons across the membrane,22.71400741,19.14621397,0.873580465,9.290521039
Ga0401699_0013227_911_1207_F1F0 ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains_ F1 containing the extramembraneous catalytic core and F0 containing the membrane proton channel_ linked together by a central stalk and a peripheral stalk. During catalysis_ ATP synthesis in the catalytic domain of F1 is coupled via a rotary mechanism of the central stalk subunits to proton translocation,9.994163261,2.252495761,0,4.129120462
Ga0401699_0501475_1077_1379_Precorrin-6x reductase,1.817120593,1.12624788,0,3.096840346
Ga0401699_0501480_7_558_COG1960 Acyl-CoA dehydrogenases,0,2.252495761,2.620741394,2.064560231
Ga0401699_0013227_1244_1714_Component of the F0 channel_ it forms part of the peripheral stalk_ linking F1 to F0,3.634241186,10.13623092,0,6.193680693
Ga0401699_0501499_224_1381_Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily,84.49610757,132.8972499,64.64495439,72.25960808
Ga0401699_0013227_3836_4714_Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF0 complex,7.268482371,0,1.747160929,6.193680693
Ga0401699_0013227_5010_6128_Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,15.44552504,29.28244489,0,8.258240924
Ga0401699_0013227_6156_6578_Produces ATP from ADP in the presence of a proton gradient across the membrane,14.53696474,4.504991522,0,1.032280115
Ga0401699_0501535_51_1379_COG1012 NAD-dependent aldehyde dehydrogenases,3.634241186,2.252495761,0,7.225960808
Ga0401699_0501571_36_1379_flavoprotein involved in K transport,0,0,1.747160929,0
Ga0401699_0501597_2_400_Cysteine-rich domain,1.817120593,3.378743641,0.873580465,1.032280115
Ga0401699_0501597_403_696_Protein of unknown function DUF3501,1.817120593,0,2.620741394,0
Ga0401699_0501603_86_1342_Membrane-bound dehydrogenase domain protein,1.817120593,4.504991522,12.23012651,4.129120462
Ga0401699_0013231_3700_4821_acyl-CoA reductase,10.90272356,3.378743641,10.48296558,3.096840346
Ga0401699_0501628_1_1380_Aerobic-type carbon monoxide dehydrogenase_ large subunit CoxL,3.634241186,4.504991522,7.862224183,0
Ga0401699_0501663_357_1379_Cytochrome c,0,2.252495761,0.873580465,2.064560231
Ga0401699_0013232_3999_4985_COG1018 Flavodoxin reductases ferredoxin-NADPH reductases family 1,6.359922075,6.757487283,5.241482788,5.161400577
Ga0401699_0013233_3577_5625_NADH:flavin oxidoreductase / NADH oxidase family,0,68.70112071,0,27.87156312
Ga0401699_0501758_1_495_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain,4.542801482,3.378743641,6.115063253,2.064560231
Ga0401699_0501758_511_1335_TIGRFAM NADH-quinone oxidoreductase_ chain G,2.725680889,0,0,0
Ga0401699_0501771_1_798_Aldehyde,0,1.12624788,0,3.096840346
Ga0401699_0501876_26_1381_COG1042 Acyl-CoA synthetase NDP forming,0.908560296,1.12624788,2.620741394,4.129120462
Ga0401699_0013239_1465_2583_acyl-CoA transferases carnitine dehydratase,10.90272356,12.38872668,14.8508679,14.45192162
Ga0401699_0501999_433_1311_Required for formate dehydrogenase FDH activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH,2.725680889,2.252495761,6.115063253,10.32280115
Ga0401699_0502090_59_1378_Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily,0.908560296,3.378743641,3.494321859,1.032280115
Ga0401699_0502119_9_1118_Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,8.177042668,1.12624788,4.367902324,3.096840346
Ga0401699_0502165_962_1378_Thiol oxidoreductase,0,1.12624788,0,0
Ga0401699_0013248_1884_4112_NADP-specific_ catalyzes the formation of 2-oxoglutarate from isocitrate or oxalosuccinate,67.23346193,63.0698813,41.93186231,56.77540635
Ga0401699_0502238_1_1149_FAD binding domain,0.908560296,2.252495761,0.873580465,2.064560231
Ga0401699_0502294_40_1380_Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate,7.268482371,2.252495761,0.873580465,2.064560231
Ga0401699_0502437_47_748_aldo keto reductase,1.817120593,2.252495761,1.747160929,1.032280115
Ga0401699_0013257_55_924_Respiratory-chain NADH dehydrogenase 51 Kd subunit,6.359922075,6.757487283,13.10370697,5.161400577
Ga0401699_0013257_1025_3784_Formate dehydrogenase_ alpha subunit,78.13618549,68.70112071,57.65631067,73.2918882
Ga0401699_0502577_651_1346_Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine,0.908560296,1.12624788,2.620741394,1.032280115
Ga0401699_0013260_804_2813_TIGRFAM succinate dehydrogenase or fumarate reductase_ flavoprotein subunit_ Bacillus subtilis subgroup,21.80544711,40.5449237,6.988643718,25.80700289
Ga0401699_0013260_2821_3567_Succinate dehydrogenase fumarate reductase Fe-S protein subunit,3.634241186,10.13623092,2.620741394,7.225960808
Ga0401699_0502688_2_1378_Sodium pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for Na  movement across the membrane,39.97665304,112.624788,63.77137393,70.19504785
Ga0401699_0502759_1_855_Pyridine nucleotide-disulphide oxidoreductase,3.634241186,6.757487283,52.41482788,59.8722467
Ga0401699_0502759_1090_1377_Luciferase-like monooxygenase,4.542801482,3.378743641,10.48296558,6.193680693
Ga0401699_0502935_762_1355_ATP synthase A chain,0,0,4.367902324,3.096840346
Ga0401699_0013271_13_1566_IMP dehydrogenase / GMP reductase domain,14.53696474,24.77745337,14.8508679,16.51648185
Ga0401699_0503003_605_1105_reductase_ beta subunit,25.4396883,101.3623092,92.59952926,81.55012912
Ga0401699_0503003_1143_1379_Fumarate reductase flavoprotein C-term,5.451361778,25.90370125,12.23012651,16.51648185
Ga0401699_0013272_6082_6462_Flavodoxin,5.451361778,1.12624788,0.873580465,3.096840346
Ga0401699_0503049_78_857_Methylenetetrahydrofolate reductase,0.908560296,3.378743641,6.988643718,6.193680693
Ga0401699_0503095_74_643_Malate:quinone oxidoreductase Mqo,4.542801482,1.12624788,1.747160929,0
Ga0401699_0503127_1_1374_Glutamate synthase small,11.81128385,12.38872668,13.10370697,9.290521039
Ga0401699_0503149_2_1351_Pyridine nucleotide-disulphide oxidoreductase_ dimerisation domain,1.817120593,2.252495761,1.747160929,2.064560231
Ga0401699_0503197_318_824_ATP synthase delta OSCP subunit,0,0,0.873580465,0
Ga0401699_0503308_201_1325_NADH flavin oxidoreductase,11.81128385,7.883735163,4.367902324,14.45192162
Ga0401699_0503418_415_951_PFAM D-isomer specific 2-hydroxyacid dehydrogenase catalytic region,2.725680889,0,0,3.096840346
Ga0401699_0013286_2821_3324_NADH dehydrogenase,0,0,3.494321859,1.032280115
Ga0401699_0013286_4902_6722_NADH-quinone oxidoreductase,1.817120593,0,4.367902324,2.064560231
Ga0401699_0013289_459_1160_glycerophosphoryl diester phosphodiesterase,2.725680889,11.2624788,7.862224183,13.4196415
Ga0401699_0503689_231_572_Belongs to the glutathione peroxidase family,6.359922075,0,0,0
Ga0401699_0503847_2_646_FAD linked oxidase domain protein,0,1.12624788,2.620741394,2.064560231
Ga0401699_0503847_705_1322_Transketolase_ pyrimidine binding domain,1.817120593,3.378743641,0,0
Ga0401699_0503852_3_431_Cytochrome bC-terminal/b6/petD,0.908560296,0,0,0
Ga0401699_0503852_443_1294_oxidoreductase activity_ acting on diphenols and related substances as donors,1.817120593,1.12624788,8.735804647,2.064560231
Ga0401699_0503928_1034_1378_belongs to the aldehyde dehydrogenase family,3.634241186,5.631239402,10.48296558,8.258240924
Ga0401699_0503970_6_953_Thioredoxin reductase,4.542801482,0,6.115063253,4.129120462
Ga0401699_0503979_667_1365_lyase activity,0,1.12624788,1.747160929,4.129120462
Ga0401699_0504146_912_1376_NADH-ubiquinone/plastoquinone oxidoreductase chain 6,0.908560296,2.252495761,1.747160929,1.032280115
Ga0401699_0504165_164_301_Component of the ubiquinol-cytochrome c reductase complex complex III or cytochrome b-c1 complex_ which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis,0.908560296,1.12624788,3.494321859,4.129120462
Ga0401699_0504214_3_1373_electron transfer flavoprotein-ubiquinone oxidoreductase,2.725680889,0,6.115063253,8.258240924
Ga0401699_0504336_173_496_Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions,0,3.378743641,0,3.096840346
Ga0401699_0504352_1_660_Molydopterin dinucleotide binding domain,0,1.12624788,6.115063253,3.096840346
Ga0401699_0504411_21_1253_Tryptophan halogenase,5.451361778,13.51497457,2.620741394,4.129120462
Ga0401699_0504412_1_792_photosynthetic electron transport in photosystem II,1325.589472,467.3928704,769.6243894,716.4024001
Ga0401699_0504428_704_1375_Cytochrome c1,1.817120593,0,0.873580465,3.096840346
Ga0401699_0504504_175_1377_Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate OAA to phosphoenolpyruvate PEP through direct phosphoryl transfer between the nucleoside triphosphate and OAA,0.908560296,1.12624788,2.620741394,5.161400577
Ga0401699_0504548_56_1360_Fad linked oxidase,3.634241186,3.378743641,0.873580465,4.129120462
Ga0401699_0504593_94_1377_Methylmalonate-semialdehyde dehydrogenase,4.542801482,3.378743641,9.609385112,9.290521039
Ga0401699_0504635_636_1349_Part of a membrane complex involved in electron transport,2.725680889,5.631239402,3.494321859,2.064560231
Ga0401699_0504681_280_1377_Protein of unknown function DUF1549,2.725680889,4.504991522,5.241482788,7.225960808
Ga0401699_0504840_2_544_Oxidoreductase,0.908560296,0,0.873580465,0
Ga0401699_0504966_61_780_Cytochrome c oxidase subunit III,6.359922075,7.883735163,6.115063253,9.290521039
Ga0401699_0504979_3_506_Heme copper-type cytochrome quinol oxidase_ subunit,0.908560296,0,0.873580465,0
Ga0401699_0505071_880_1317_Cytochrome C,2.725680889,0,8.735804647,2.064560231
Ga0401699_0505097_869_1315_PFAM flavodoxin nitric oxide synthase,0,1.12624788,0,5.161400577
Ga0401699_0505102_444_758_Belongs to the glutaredoxin family. Monothiol subfamily,0.908560296,0,0,1.032280115
Ga0401699_0505142_3_209_NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions_ coupled with the transport of Na  ions from the cytoplasm to the periplasm. NqrA to NqrE are probably involved in the second step_ the conversion of ubisemiquinone to ubiquinol,0.908560296,0,1.747160929,0
Ga0401699_0505142_202_969_FMN_bind,0,0,13.97728744,3.096840346
Ga0401699_0505142_966_1376_NQR2_ RnfD_ RnfE family,0,0,11.35654604,1.032280115
Ga0401699_0505203_2_1375_Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity,1.817120593,13.51497457,8.735804647,2.064560231
Ga0401699_0505302_639_1376_Electron transfer flavoprotein,32.70817067,75.45860799,51.54124742,41.29120462
Ga0401699_0013337_2372_2770_proton-transporting ATP synthase activity_ rotational mechanism,10.90272356,3.378743641,5.241482788,6.193680693
Ga0401699_0013340_3_380_Mannitol dehydrogenase C-terminal domain,2.725680889,3.378743641,0,0
Ga0401699_0505426_1_957_COG4638 Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases_ large terminal subunit,0,4.504991522,5.241482788,2.064560231
Ga0401699_0505429_36_1373_PFAM Cytochrome c_ class I,11.81128385,21.39870973,46.29976463,33.03296369
Ga0401699_0505492_2_883_TIGRFAM methylmalonic acid semialdehyde dehydrogenase,285.2879331,351.3893387,367.7773757,341.6847182
Ga0401699_0505492_927_1376_Belongs to the succinate dehydrogenase fumarate reductase iron-sulfur protein family,39.06809275,20.27246185,55.90914974,54.71084612
Ga0401699_0505586_83_802_nitroreductase,1.817120593,6.757487283,7.862224183,2.064560231
Ga0401699_0505719_1097_1375_PFAM Alanine dehydrogenase PNT_ C-terminal domain,0,0,0,0
Ga0401699_0505720_3_1370_Conserved carboxylase domain,0.908560296,1.12624788,0.873580465,6.193680693
Ga0401699_0505746_791_1363_TIGRFAM proton-translocating NADH-quinone oxidoreductase_ chain M,3.634241186,6.757487283,15.72444837,13.4196415
Ga0401699_0505882_1_705_Polysulphide reductase_ NrfD,3.634241186,1.12624788,2.620741394,8.258240924
Ga0401699_0013359_431_1129_COG0778 Nitroreductase,2.725680889,2.252495761,0,1.032280115
Ga0401699_0506127_193_1311_COG1304 L-lactate dehydrogenase FMN-dependent and related alpha-hydroxy acid dehydrogenases,9.085602964,9.009983044,9.609385112,9.290521039
Ga0401699_0506149_17_1375_Monomeric isocitrate dehydrogenase,7.268482371,1.12624788,6.115063253,4.129120462
Ga0401699_0506228_2_1351_Forms oxaloacetate_ a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle,9.085602964,7.883735163,11.35654604,8.258240924
Ga0401699_0506249_296_763_Rieske [2Fe-2S] domain,17.26264563,1.12624788,6.115063253,4.129120462
Ga0401699_0506249_822_1373_Domain of unknown function DUF4405,10.90272356,0,1.747160929,4.129120462
Ga0401699_0506293_2_505_SdhA B are the catalytic subcomplex and can exhibit succinate dehydrogenase activity in the absence of SdhC D which are the membrane components and form cytochrome b556,0.908560296,0,3.494321859,2.064560231
Ga0401699_0506378_1_192_FMN-dependent dehydrogenase,0,0,0,0
Ga0401699_0506430_896_1357_Aerobic-type carbon monoxide dehydrogenase_ small subunit CoxS,0.908560296,2.252495761,5.241482788,0
Ga0401699_0506435_4_1374_radical SAM domain protein,0.908560296,2.252495761,6.988643718,5.161400577
Ga0401699_0506501_3_1292_Isocitrate dehydrogenase NADP-dependent_ monomeric type,6.359922075,4.504991522,6.115063253,6.193680693
Ga0401699_0506630_61_825_PFAM Alcohol dehydrogenase GroES domain protein_ Alcohol dehydrogenase zinc-binding domain protein,0,2.252495761,0,0
Ga0401699_0506645_514_1374_Belongs to the LDH2 MDH2 oxidoreductase family,16.35408534,25.90370125,11.35654604,19.61332219
Ga0401699_0506665_39_1133_Dihydroorotate dehydrogenase,22.71400741,12.38872668,0.873580465,5.161400577
Ga0401699_0506695_27_1253_Component of the pyruvate dehydrogenase PDH complex_ that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO2,0,7.883735163,12.23012651,14.45192162
Ga0401699_0506989_104_1258_Succinyl-CoA synthetase functions in the citric acid cycle TCA_ coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate_ while the binding sites for coenzyme A and phosphate are found in the alpha subunit,15.44552504,0,13.97728744,4.129120462
Ga0401699_0506999_1_468_Nitrate reductase gamma subunit,0,0,2.620741394,2.064560231
Ga0401699_0013389_2557_3666_Iron-sulfur cluster-binding domain,5.451361778,4.504991522,9.609385112,3.096840346
Ga0401699_0507106_7_1290_Isocitrate lyase,1.817120593,4.504991522,6.115063253,2.064560231
Ga0401699_0507185_102_1358_formamidase,0.908560296,2.252495761,8.735804647,0
Ga0401699_0507201_910_1371_Lycopene cyclase protein,0.908560296,2.252495761,1.747160929,0
Ga0401699_0507226_68_1267_Flavin-binding monooxygenase-like,0.908560296,1.12624788,0.873580465,5.161400577
Ga0401699_0013396_3281_4156_3-hydroxyacyl-CoA dehydrogenase,15.44552504,19.14621397,18.34518976,28.90384323
Ga0401699_0013396_5181_6110_Electron transfer flavoprotein_ alpha subunit,104.4844341,94.60482196,47.1733451,47.48488531
Ga0401699_0507283_487_1371_Di-haem oxidoreductase_ putative peroxidase,2.725680889,1.12624788,3.494321859,0
Ga0401699_0507462_2_1294_Belongs to the citrate synthase family,7.268482371,0,2.620741394,3.096840346
Ga0401699_0507469_121_1098_Pyruvate 2-oxoglutarate dehydrogenase complex_ dehydrogenase,0.908560296,2.252495761,2.620741394,3.096840346
Ga0401699_0507563_850_1371_Catalyzes the oxidation of D-lactate to pyruvate,0,0,2.620741394,2.064560231
Ga0401699_0507771_894_1373_NADPH quinone,0,0,0,1.032280115
Ga0401699_0507792_3_1172_PFAM acyl-CoA dehydrogenase domain protein,0,3.378743641,7.862224183,11.35508127
