query_name	Preferred_name	KEGG_ko	eggNOG.free.text.desc.	2.5nM_DFB_A	2.5nM_DFB_B	2.5nM_Fe_A	2.5nM_Fe_B
Ga0401699_0000132_27812_28399	ALI1	ko:K03936	"Respiratory-chain NADH dehydrogenase, 30 Kd subunit"	25.46746328	53.92969106	2.861211908	0.859917978
Ga0401699_0000132_29659_30054	rpsH	ko:K02994	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit"	33.10770226	48.53672196	6.437726792	6.019425843
Ga0401699_0000132_4185_4589	rplP	ko:K02878	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs	65.36648908	69.03000456	8.583635723	8.599179776
Ga0401699_0000132_5021_6052		ko:K02261	"Cytochrome C oxidase subunit II, periplasmic domain"	440.5871147	752.8584872	69.38438876	55.03475057
Ga0401699_0000132_6270_7775	cox1	ko:K02256	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B	605.2767106	1054.864757	100.8577197	79.11245394
Ga0401699_0000132_7803_8165	nuoA	ko:K00330	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"	92.53178325	154.2389164	17.16727145	11.17893371
Ga0401699_0000132_8266_9450		ko:K03935	Belongs to the complex I 49 kDa subunit family	272.5018571	421.7301841	40.05696671	42.1359809
Ga0401699_0000132_852_2000	cob	ko:K00412	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex) that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis	169.7830885	341.9142413	25.75090717	27.51737528
Ga0401699_0000132_9477_10283		ko:K02262	"Subunits I, II and III form the functional core of the enzyme complex"	195.2505518	286.9059564	29.32742205	16.33844157
Ga0401699_0000160_68_32098	bhp	"ko:K01406,ko:K01448,ko:K13735,ko:K20276,ko:K21449"	extracellular matrix structural constituent	225.8115077	218.9545457	25.03560419	38.69630899
Ga0401699_0000165_5_32029		ko:K12567	cytoskeletal protein binding	293.7247431	149.9245412	0	2.579753933
Ga0401699_0000181_167_30862			semaphorin-plexin signaling pathway	170.632004	151.003135	20.02848335	16.33844157
Ga0401699_0000209_2_29419	bhp	"ko:K01448,ko:K07004,ko:K13735,ko:K20276,ko:K21449"	extracellular matrix structural constituent	350.6020778	331.1283031	55.7936322	68.79343821
Ga0401699_0000216_234_28892		ko:K06820	semaphorin-plexin signaling pathway	133.2797245	180.1251681	11.44484763	6.879343821
Ga0401699_0000238_263_28306	murD	"ko:K01317,ko:K01925,ko:K01928,ko:K01932"	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA)	537.3634752	582.4406635	54.36302624	104.9099933
Ga0401699_0000245_86_27754				154.5026106	112.1737574	2.145908931	4.299589888
Ga0401699_0000262_198_27458	PKHD1L1		PA14 domain	1064.539965	1048.393194	52.21711731	67.07360225
Ga0401699_0000290_1_26535		ko:K12567	cytoskeletal protein binding	450.7741	334.3640846	6.437726792	5.159507865
Ga0401699_0000319_7729_9459	ilvB	ko:K01652	acetolactate synthase	37.35227948	46.37953431	173.1033204	149.6257281
Ga0401699_0000333_867_25181				163.8406804	153.1603226	15.02136251	26.65745731
Ga0401699_0000350_314_25021		"ko:K16506,ko:K16669"	protein tyrosine phosphatase activity	289.4801659	265.33408	24.32030121	37.83639101
Ga0401699_0000375_23479_24477	sdhA	ko:K00239	Fumarate reductase flavoprotein C-term	398.1413426	175.8107929	1.430605954	2.579753933
Ga0401699_0000380_14_24028			calcium ion binding	166.3874268	148.8459473	16.45196847	13.75868764
Ga0401699_0000400_10051_10470	rplP	ko:K02878	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs	34.80553315	47.45812813	376.2493658	279.4733427
Ga0401699_0000400_11730_12008	rpsS	ko:K02965	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA	27.16529416	29.12203317	179.5410472	164.2443337
Ga0401699_0000400_4722_5192	rpsG	ko:K02992	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA"	17.8272243	33.43640846	347.6372468	390.4027618
Ga0401699_0000400_5919_6251	rplU	ko:K02888	This protein binds to 23S rRNA in the presence of protein L20	11.8848162	20.4932826	276.8222521	237.3373618
Ga0401699_0000400_6364_6783	rpsI	ko:K02996	Belongs to the universal ribosomal protein uS9 family	23.76963239	56.0868787	335.4770962	296.6717023
Ga0401699_0000400_6823_7740	rpoA	ko:K03040	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	43.29468757	77.65875513	689.5520697	582.1644708
Ga0401699_0000400_7891_8286	rpsK	ko:K02948	"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome"	27.16529416	34.51500228	312.5874009	300.9712922
Ga0401699_0000400_8528_8932	rps8	ko:K02994	structural constituent of ribosome	30.56095593	64.71562927	423.4593623	382.6635
Ga0401699_0000400_8980_9534	rplE	ko:K02931	"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits"	42.44577213	77.65875513	540.7690505	498.752427
Ga0401699_0000400_9563_9931	rplN	ko:K02874	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	17.8272243	34.51500228	243.2030121	239.0571978
Ga0401699_0000417_235_23499	bhp	"ko:K01448,ko:K07004,ko:K13735,ko:K20276,ko:K21449"	extracellular matrix structural constituent	297.9693204	328.9711155	55.07832922	61.05417641
Ga0401699_0000420_290_23452		"ko:K16506,ko:K16669"	protein tyrosine phosphatase activity	217.3223533	232.9762654	39.34166373	14.61860562
Ga0401699_0000432_16938_17624	clpP3	ko:K01358	Clp protease	84.04262882	184.4395434	695.2744935	607.1020922
Ga0401699_0000432_17765_18301	ycf4		Seems to be required for the assembly of the photosystem I complex	54.33058833	136.9814153	452.0714814	391.2626798
Ga0401699_0000432_18397_19302	accD	"ko:K01963,ko:K02696"	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA	115.4525002	160.7104794	530.0395059	577.8648809
Ga0401699_0000448_197_22789			Domain found in Notch and Lin-12	150.2580333	71.1871922	0.715302977	0.859917978
Ga0401699_0000451_2531_5971	rpoB	ko:K03043	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	6.791323541	5.392969106	89.41287211	67.07360225
Ga0401699_0000457_17498_20746	srrB		Sigma factor PP2C-like phosphatases	21.22288607	43.14375285	92.27408402	65.3537663
Ga0401699_0000457_2474_3145			TIGR02453 family	37.35227948	56.0868787	226.7510437	203.8005607
Ga0401699_0000476_106_3894				23.76963239	25.88625171	1.430605954	3.43967191
Ga0401699_0000476_3944_22351				112.9057539	112.1737574	12.16015061	13.75868764
Ga0401699_0000500_2409_2789		ko:K11312	Cupin	1.697830885	9.707344391	60.80075304	57.6145045
Ga0401699_0000518_2_21568		ko:K05288	HECT E3 ubiquitin ligase. Source PGD	113.7546693	100.3092254	0	0.859917978
Ga0401699_0000521_26_21778		ko:K12567	cytoskeletal protein binding	94.22961413	71.1871922	0.715302977	0.859917978
Ga0401699_0000534_2_21496			phosphatidylethanolamine binding	179.1211584	121.8811018	12.87545358	16.33844157
Ga0401699_0000540_115_10512		"ko:K16726,ko:K17751"	translation initiation factor activity	39.8990258	19.41468878	2.145908931	3.43967191
Ga0401699_0000560_11272_13419			OmpA family	24.61854784	65.7942231	97.99650783	104.0500753
Ga0401699_0000582_11_20518	PKHD1L1		Polycystic kidney and hepatic disease 1 (autosomal	420.2131441	345.1500228	37.91105778	37.83639101
Ga0401699_0000589_17_20803	bhp	"ko:K01448,ko:K07004,ko:K13735,ko:K20276,ko:K21449"	extracellular matrix structural constituent	153.6536951	97.07344391	6.437726792	17.19835955
Ga0401699_0000594_1139_20674		ko:K16669	Transmembrane protein family 132	133.2797245	128.3526647	15.02136251	7.739261798
Ga0401699_0000678_159_19598	DNAH1	ko:K10408	inner dynein arm assembly	53.48167289	33.43640846	5.007120838	0
Ga0401699_0000690_16281_16772	psbV	ko:K02720	Low-potential cytochrome c that plays a role in the oxygen-evolving complex of photosystem II	43.29468757	62.55844163	243.2030121	224.4385921
Ga0401699_0000690_2854_3267	rpsI	ko:K02996	Belongs to the universal ribosomal protein uS9 family	8.489154426	15.1003135	147.3524132	104.9099933
Ga0401699_0000690_5457_6719	secY	ko:K10956	protein transport	36.50336403	42.06515903	349.7831557	367.1849764
Ga0401699_0000690_7240_7782	rplF	ko:K02933	"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center"	22.92071695	14.02171968	216.736802	193.481545
Ga0401699_0000733_13_18981		"ko:K14645,ko:K20754"	Peptidase inhibitor I9	162.1428495	101.3878192	8.583635723	6.879343821
Ga0401699_0000801_126_18653		ko:K06820	semaphorin-plexin signaling pathway	134.1286399	119.7239142	1.430605954	7.739261798
Ga0401699_0000848_19_18303				112.0568384	72.26578602	0	0
Ga0401699_0000879_11061_18158		ko:K20493	motor activity	21.22288607	36.67218992	2.145908931	2.579753933
Ga0401699_0000887_31_17871			"ig-like, plexins, transcription factors"	204.5886217	161.7890732	25.75090717	12.89876966
Ga0401699_0000909_2820_17780			motor activity	68.76215085	74.42297367	6.437726792	10.31901573
Ga0401699_0000940_16881_17798	rpoA	ko:K03040	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	17.8272243	14.02171968	126.6086269	89.43146967
Ga0401699_0000970_1_17592	COL22A1	"ko:K16630,ko:K19721"	Persistent plexus	147.711287	101.3878192	2.861211908	3.43967191
Ga0401699_0000979_2_17629			semaphorin-plexin signaling pathway	87.43829059	88.44469334	3.576514884	8.599179776
Ga0401699_0001063_2_16960		"ko:K06238,ko:K14965,ko:K17495,ko:K19721"	structural constituent of cuticle	123.9416546	99.23063155	17.88257442	14.61860562
Ga0401699_0001072_2_12127	ybcS	ko:K01185	Phage lysozyme	237.6963239	122.9596956	1.430605954	0
Ga0401699_0001095_3_16931		ko:K16630	von Willebrand factor (vWF) type A domain	216.4734379	105.7021945	0	0.859917978
Ga0401699_0001104_16105_16833	rpl3	ko:K02906	Belongs to the universal ribosomal protein uL3 family	6.791323541	22.65047025	49.35590541	75.67278203
Ga0401699_0001105_332_16870				98.47419134	70.10859838	13.59075656	5.159507865
Ga0401699_0001140_1387_1872			Ycf66 protein N-terminus	22.92071695	29.12203317	96.56590188	139.3067124
Ga0401699_0001140_15463_16515	chlI	"ko:K03404,ko:K03405"	Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX	58.57516554	135.9028215	217.452105	254.5357214
Ga0401699_0001140_5406_6053	petB	"ko:K02635,ko:K02704"	"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions"	378.6162874	685.9856703	939.9081116	1035.341245
Ga0401699_0001140_6109_6591	petD	ko:K02637	Cytochrome b6-f complex subunit	189.3081437	319.2637711	484.9754183	502.1920989
Ga0401699_0001140_768_1283	ycf3		Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits	42.44577213	56.0868787	211.7296812	220.9989202
Ga0401699_0001140_9066_9785	rpsB	ko:K02967	Belongs to the universal ribosomal protein uS2 family	47.53926479	129.4312585	508.5804166	430.8189068
Ga0401699_0001140_9968_10906	rbcR	ko:K21703	"Bacterial regulatory helix-turn-helix protein, lysR family"	24.61854784	64.71562927	231.7581645	182.3026112
Ga0401699_0001176_12126_12743	nad6	ko:K03884	Belongs to the complex I subunit 6 family	57.7262501	42.06515903	5.007120838	6.879343821
Ga0401699_0001176_12809_14890		ko:K03934	Belongs to the complex I 75 kDa subunit family	169.7830885	201.6970446	16.45196847	11.17893371
Ga0401699_0001176_14905_15918	nuoH	ko:K00337	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone"	63.6686582	79.81594277	7.153029769	8.599179776
Ga0401699_0001176_2295_2690	rpsH	ko:K02994	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit"	16.12939341	10.78593821	0.715302977	0.859917978
Ga0401699_0001176_465_1139	rpsD	ko:K02986	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit"	16.97830885	24.80765789	0.715302977	2.579753933
Ga0401699_0001176_6012_6551	rpsA	"ko:K02945,ko:K03527"	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence	39.05011036	45.30094049	4.291817861	0
Ga0401699_0001176_9956_11971	nad5	ko:K03883	"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus"	164.6895959	203.8542322	17.88257442	9.459097753
Ga0401699_0001187_274_16422		ko:K10408	"Dynein heavy chain, N-terminal region 1"	51.783842	57.16547253	3.576514884	3.43967191
Ga0401699_0001189_14036_14590	psaF	ko:K02694	photosynthesis	14.43156252	19.41468878	82.25984234	73.09302809
Ga0401699_0001253_13551_14375	rpl2	"ko:K02886,ko:K02965"	structural constituent of ribosome	19.52505518	4.314375285	59.37014708	69.65335618
Ga0401699_0001253_15389_16027	rpl3	ko:K02906	Belongs to the universal ribosomal protein uL3 family	16.97830885	6.471562927	53.64772327	90.29138765
Ga0401699_0001253_5942_7198	secY	ko:K10956	protein transport	24.61854784	9.707344391	56.50893517	82.55212585
Ga0401699_0001253_609_1838	tufA	ko:K02358	Elongation factor Tu	64.51757364	37.75078374	151.6442311	214.1195764
Ga0401699_0001267_4860_6725	dnaK	ko:K03283	unfolded protein binding	1444.005168	1225.282581	8874.764034	6665.224244
Ga0401699_0001323_782_1192	rps4	ko:K02986	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit"	0	0	51.50181434	40.41614495
Ga0401699_0001374_9818_10243		ko:K13993	Belongs to the small heat shock protein (HSP20) family	535.6656443	677.3569197	738.9079751	276.0336708
Ga0401699_0001472_257_15277	HYDIN	ko:K17570	axonemal central apparatus assembly	136.6753863	151.003135	26.46621015	18.05827753
Ga0401699_0001473_1_5406		"ko:K02599,ko:K18543"	Astacin-like metallo-endopeptidase (M12 family)	118.848162	43.14375285	0	0
Ga0401699_0001511_13117_13863	ycf39		divinyl chlorophyllide a 8-vinyl-reductase activity	89.13612148	155.3175103	417.0216355	351.7064528
Ga0401699_0001524_6173_6754	rps4	ko:K02986	Ribosomal protein S4/S9 N-terminal domain	125.6394855	127.2740709	953.4988682	1071.4578
Ga0401699_0001525_5007_7499		ko:K13710	Rho guanyl-nucleotide exchange factor activity	73.00672807	57.16547253	20.74378633	20.63803146
Ga0401699_0001548_35_15088				50.93492656	35.5935961	15.02136251	17.19835955
Ga0401699_0001630_236_14773	HYDIN	ko:K17570	axonemal central apparatus assembly	73.00672807	69.03000456	1.430605954	6.019425843
Ga0401699_0001635_9211_13815	rpoC2		DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	5.942408098	7.550156749	61.51605601	68.79343821
Ga0401699_0001637_97_14304	MCTP1		negative regulation of response to oxidative stress	138.3732171	156.3961041	17.16727145	23.21778539
Ga0401699_0001655_2995_14784	RS1		Retinoschisin	78.94913616	100.3092254	7.868332746	12.03885169
Ga0401699_0001688_5102_14626		ko:K01185	Phage lysozyme	105.2655149	53.92969106	0	0
Ga0401699_0001762_175_13950		ko:K10408	dynein light chain binding	46.69034934	26.96484553	2.861211908	4.299589888
Ga0401699_0001774_116_14326		ko:K10413	dynein light chain binding	24.61854784	48.53672196	5.722423815	0.859917978
Ga0401699_0001836_1_14232			Thrombospondin type 1 domain-containing protein	211.3799452	133.7456338	5.007120838	9.459097753
Ga0401699_0001850_81_12554				145.1645407	107.8593821	35.04984587	25.79753933
Ga0401699_0001856_2_14326			semaphorin-plexin signaling pathway	123.9416546	160.7104794	18.5978774	32.67688315
Ga0401699_0001879_86_14242			Cadherin domain	107.8122612	88.44469334	0	4.299589888
Ga0401699_0001919_2_14188	TNFRSF1B	ko:K05141	"Tumor necrosis factor receptor superfamily, member 1B"	234.3006622	143.4529782	18.5978774	8.599179776
Ga0401699_0001932_224_13912	DNAH2	ko:K10408	dynein light chain binding	53.48167289	52.85109724	15.73666549	0.859917978
Ga0401699_0001958_1_14130				1029.734432	970.7344391	104.4342346	78.25253596
Ga0401699_0001985_160_14010	DYNC1H1	ko:K10413	1 heavy chain 1	101.0209377	60.40125399	5.007120838	9.459097753
Ga0401699_0001993_402_13979			FG-GAP repeat	49.23709567	56.0868787	2.861211908	4.299589888
Ga0401699_0002012_265_13998	ODA-DHCB	ko:K10408	dynein light chain binding	141.7688789	128.3526647	12.16015061	6.019425843
Ga0401699_0002023_200_13975		ko:K10408	dynein light chain binding	114.6035848	103.5450068	11.44484763	5.159507865
Ga0401699_0002028_182_13939		ko:K10408	dynein light chain binding	177.4233275	186.5967311	35.04984587	24.93762135
Ga0401699_0002045_2251_2370	cox1	ko:K02256	Cytochrome C and Quinol oxidase polypeptide I	110.3590075	262.0982986	27.18151312	26.65745731
Ga0401699_0002045_2431_2532	ctaD	ko:K02274	Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B	185.0635665	284.7487688	45.06408754	26.65745731
Ga0401699_0002045_4724_5149	petB	"ko:K00410,ko:K00412,ko:K02635,ko:K02637"	"Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis"	213.9266915	405.5512768	52.21711731	38.69630899
Ga0401699_0002045_8932_9495	nuoN	ko:K00343	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"	36.50336403	56.0868787	9.2989387	15.4785236
Ga0401699_0002056_56_12655	PCDH15	"ko:K16506,ko:K16669"	homophilic cell adhesion via plasma membrane adhesion molecules	66.21540452	38.82937756	0	0
Ga0401699_0002057_212_13855	ODA-DHCB	ko:K10408	dynein light chain binding	123.0927392	104.6236007	24.32030121	24.93762135
Ga0401699_0002077_91_13761	ODA-DHCB	ko:K10408	dynein light chain binding	168.0852576	149.9245412	25.75090717	24.93762135
Ga0401699_0002102_29_13873		ko:K01179	leucine-rich repeat extensin-like protein	239.3941548	101.3878192	0	1.719835955
Ga0401699_0002103_89_13921			Cadherin domain	99.32310679	51.77250342	0	0
Ga0401699_0002104_179_13921	DNAH10	ko:K10408	dynein light chain binding	89.98503692	99.23063155	17.16727145	12.03885169
Ga0401699_0002111_36_13646			Protein of unknown function (DUF3645)	54.33058833	80.89453659	150.2136251	212.3997405
Ga0401699_0002148_85_13608	DNAH10	ko:K10408	dynein light chain binding	62.81974275	76.58016131	4.291817861	0.859917978
Ga0401699_0002203_3_13733		ko:K12567	cytoskeletal protein binding	31.40987138	17.25750114	0	0
Ga0401699_0002213_219_13742				73.00672807	45.30094049	3.576514884	3.43967191
Ga0401699_0002224_267_13352	ENAH	"ko:K03099,ko:K05746"	positive regulation of caveolin-mediated endocytosis	44.99251846	50.6939096	2.145908931	2.579753933
Ga0401699_0002258_148_13479	bhp	"ko:K13735,ko:K20276,ko:K21449"	pyrroloquinoline quinone binding	25.46746328	33.43640846	2.145908931	5.159507865
Ga0401699_0002281_221_13630	ODA-DHCB	ko:K10408	dynein light chain binding	83.19371338	39.90797139	0.715302977	6.019425843
Ga0401699_0002299_77_13489	DNAH2	ko:K10408	dynein light chain binding	112.9057539	83.05172424	6.437726792	9.459097753
Ga0401699_0002334_4566_6593			OmpA family	26.31637872	33.43640846	209.5837722	148.7658101
Ga0401699_0002371_44_13348			Thrombospondin type 1 repeats	812.4120786	874.739589	109.4413555	174.5633494
Ga0401699_0002448_186_13346			Source PGD	90.83395236	49.61531578	2.861211908	3.43967191
Ga0401699_0002467_6612_7886	secY	ko:K10956	protein transport	11.8848162	10.78593821	79.39863044	45.57565281
Ga0401699_0002564_50_12946	DYNC2H1	"ko:K05636,ko:K10414"	dynein light chain binding	46.69034934	31.27922082	0.715302977	1.719835955
Ga0401699_0002572_180_13052	DYNC2H1	"ko:K05636,ko:K10414"	dynein light chain binding	50.93492656	43.14375285	6.437726792	1.719835955
Ga0401699_0002577_2_12994		ko:K10408	dynein light chain binding	30.56095593	35.5935961	0.715302977	1.719835955
Ga0401699_0002598_276_5234		ko:K10408	dynein heavy chain. Source PGD	28.01420961	28.04343935	3.576514884	3.43967191
Ga0401699_0002598_5192_12976		ko:K10408	dynein heavy chain. Source PGD	33.10770226	31.27922082	2.145908931	0
Ga0401699_0002654_443_13030	bhp	"ko:K13735,ko:K20276,ko:K21449"	Fibronectin type 3 domain	55.17950377	52.85109724	1.430605954	0
Ga0401699_0002782_3_12848		ko:K12567	cytoskeletal protein binding	101.0209377	72.26578602	5.722423815	4.299589888
Ga0401699_0002797_169_12705		ko:K10408	dynein light chain binding	37.35227948	57.16547253	5.007120838	3.43967191
Ga0401699_0002811_242_12685		ko:K10408	dynein light chain binding	87.43829059	98.15203773	9.2989387	3.43967191
Ga0401699_0002829_11643_12260	nad6	ko:K03884	Belongs to the complex I subunit 6 family	57.7262501	84.13031806	0	0
Ga0401699_0002829_1277_1939	rpsD	ko:K02986	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit"	11.8848162	8.62875057	0	0
Ga0401699_0002829_1940_2560	rpsB	ko:K02967	Belongs to the universal ribosomal protein uS2 family	11.8848162	10.78593821	0	0
Ga0401699_0002829_3_1148	nuoN	ko:K00343	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"	60.27299643	70.10859838	0.715302977	0.859917978
Ga0401699_0002829_5406_6878	nad4	ko:K03881	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	111.207923	149.9245412	2.861211908	0
Ga0401699_0002829_9453_11579	nuoG	ko:K00336	NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G)	201.1929599	197.3826693	1.430605954	4.299589888
Ga0401699_0002875_189_9872			metalloendopeptidase activity	999.173476	716.1862973	168.0961996	165.1042517
Ga0401699_0002939_181_12378	ODA-DHCA	ko:K10408	dynein light chain binding	122.2438237	125.1168833	17.88257442	24.07770337
