Gene,DFB_A,DFB_B,control,Fe_A,Fe_B
Ga0401699_0001140_5406_6053_Component of the cytochrome b6-f complex_ which mediates electron transfer between photosystem II PSII and photosystem I PSI_ cyclic electron flow around PSI_ and state transitions,378.6162874,685.9856703,225.74067,939.9081116,1035.341245
Ga0401699_0001140_6109_6591_Cytochrome b6-f complex subunit,189.3081437,319.2637711,136.161039,484.9754183,502.1920989
Ga0401699_0001140_768_1283_Essential for the assembly of the photosystem I PSI complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits,42.44577213,56.0868787,42.99822286,211.7296812,220.9989202
Ga0401699_0001140_9066_9785_Belongs to the universal ribosomal protein uS2 family,47.53926479,129.4312585,139.7442243,508.5804166,430.8189068
Ga0401699_0001140_9968_10906_Bacterial regulatory helix-turn-helix protein_ lysR family,24.61854784,64.71562927,54.64357488,231.7581645,182.3026112
Ga0401699_0001176_12126_12743_Belongs to the complex I subunit 6 family,57.7262501,42.06515903,38.51924131,5.007120838,6.879343821
Ga0401699_0001176_12809_14890_Belongs to the complex I 75 kDa subunit family,169.7830885,201.6970446,166.6181136,16.45196847,11.17893371
Ga0401699_0001176_14905_15918_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone,63.6686582,79.81594277,62.70574167,7.153029769,8.599179776
Ga0401699_0001176_2295_2690_One of the primary rRNA binding proteins_ it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit,16.12939341,10.78593821,23.29070405,0.715302977,0.859917978
Ga0401699_0001176_465_1139_One of the primary rRNA binding proteins_ it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit,16.97830885,24.80765789,21.49911143,0.715302977,2.579753933
Ga0401699_0001176_6012_6551_thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno SD purine-rich sequence,39.05011036,45.30094049,32.24866714,4.291817861,0
Ga0401699_0001176_9956_11971_NADH-Ubiquinone oxidoreductase complex I_ chain 5 N-terminus,164.6895959,203.8542322,120.9325018,17.88257442,9.459097753
Ga0401699_0001187_274_16422_Dynein heavy chain_ N-terminal region 1,51.783842,57.16547253,69.87211214,3.576514884,3.43967191
Ga0401699_0001189_14036_14590_photosynthesis,14.43156252,19.41468878,15.22853726,82.25984234,73.09302809
Ga0401699_0001253_13551_14375_structural constituent of ribosome,19.52505518,4.314375285,8.062166786,59.37014708,69.65335618
Ga0401699_0001253_15389_16027_Belongs to the universal ribosomal protein uL3 family,16.97830885,6.471562927,6.270574167,53.64772327,90.29138765
Ga0401699_0001253_5942_7198_protein transport,24.61854784,9.707344391,8.062166786,56.50893517,82.55212585
Ga0401699_0001253_609_1838_Elongation factor Tu,64.51757364,37.75078374,23.29070405,151.6442311,214.1195764
Ga0401699_0001267_4860_6725_unfolded protein binding,1444.005168,1225.282581,2559.290056,8874.764034,6665.224244
Ga0401699_0001323_782_1192_One of the primary rRNA binding proteins_ it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit,0,0,2.687388929,51.50181434,40.41614495
Ga0401699_0001374_9818_10243_Belongs to the small heat shock protein HSP20 family,535.6656443,677.3569197,145.1190021,738.9079751,276.0336708
Ga0401699_0001472_257_15277_axonemal central apparatus assembly,136.6753863,151.003135,122.7240944,26.46621015,18.05827753
Ga0401699_0001473_1_5406_Astacin-like metallo-endopeptidase M12 family,118.848162,43.14375285,61.80994536,0,0
Ga0401699_0001511_13117_13863_divinyl chlorophyllide a 8-vinyl-reductase activity,89.13612148,155.3175103,120.0367055,417.0216355,351.7064528
Ga0401699_0001524_6173_6754_Ribosomal protein S4/S9 N-terminal domain,125.6394855,127.2740709,407.5873208,953.4988682,1071.4578
Ga0401699_0001525_5007_7499_Rho guanyl-nucleotide exchange factor activity,73.00672807,57.16547253,83.30905678,20.74378633,20.63803146
Ga0401699_0001548_35_15088_,50.93492656,35.5935961,68.97631583,15.02136251,17.19835955
Ga0401699_0001630_236_14773_axonemal central apparatus assembly,73.00672807,69.03000456,119.1409092,1.430605954,6.019425843
Ga0401699_0001635_9211_13815_DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,5.942408098,7.550156749,11.64535202,61.51605601,68.79343821
Ga0401699_0001637_97_14304_negative regulation of response to oxidative stress,138.3732171,156.3961041,148.7021874,17.16727145,23.21778539
Ga0401699_0001655_2995_14784_Retinoschisin,78.94913616,100.3092254,85.99644571,7.868332746,12.03885169
Ga0401699_0001688_5102_14626_Phage lysozyme,105.2655149,53.92969106,81.51746416,0,0
Ga0401699_0001762_175_13950_dynein light chain binding,46.69034934,26.96484553,39.41503762,2.861211908,4.299589888
Ga0401699_0001774_116_14326_dynein light chain binding,24.61854784,48.53672196,74.35109369,5.722423815,0.859917978
Ga0401699_0001836_1_14232_Thrombospondin type 1 domain-containing protein,211.3799452,133.7456338,242.7607999,5.007120838,9.459097753
Ga0401699_0001850_81_12554_,145.1645407,107.8593821,110.1829461,35.04984587,25.79753933
Ga0401699_0001856_2_14326_semaphorin-plexin signaling pathway,123.9416546,160.7104794,115.5577239,18.5978774,32.67688315
Ga0401699_0001879_86_14242_Cadherin domain,107.8122612,88.44469334,62.70574167,0,4.299589888
Ga0401699_0001919_2_14188_Tumor necrosis factor receptor superfamily_ member 1B,234.3006622,143.4529782,119.1409092,18.5978774,8.599179776
Ga0401699_0001932_224_13912_dynein light chain binding,53.48167289,52.85109724,73.45529738,15.73666549,0.859917978
Ga0401699_0001958_1_14130_,1029.734432,970.7344391,868.9224202,104.4342346,78.25253596
Ga0401699_0001985_160_14010_1 heavy chain 1,101.0209377,60.40125399,51.06038964,5.007120838,9.459097753
Ga0401699_0001993_402_13979_FG-GAP repeat,49.23709567,56.0868787,69.87211214,2.861211908,4.299589888
Ga0401699_0002012_265_13998_dynein light chain binding,141.7688789,128.3526647,232.0112442,12.16015061,6.019425843
Ga0401699_0002023_200_13975_dynein light chain binding,114.6035848,103.5450068,213.1995217,11.44484763,5.159507865
Ga0401699_0002028_182_13939_dynein light chain binding,177.4233275,186.5967311,128.0988723,35.04984587,24.93762135
Ga0401699_0002045_2251_2370_Cytochrome C and Quinol oxidase polypeptide I,110.3590075,262.0982986,154.0769652,27.18151312,26.65745731
Ga0401699_0002045_2431_2532_Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B,185.0635665,284.7487688,208.7205401,45.06408754,26.65745731
Ga0401699_0002045_4724_5149_Component of the ubiquinol-cytochrome c reductase complex complex III or cytochrome b-c1 complex_ which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis,213.9266915,405.5512768,270.5304855,52.21711731,38.69630899
Ga0401699_0002045_8932_9495_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient,36.50336403,56.0868787,60.91414905,9.2989387,15.4785236
Ga0401699_0002056_56_12655_homophilic cell adhesion via plasma membrane adhesion molecules,66.21540452,38.82937756,34.93605607,0,0
Ga0401699_0002057_212_13855_dynein light chain binding,123.0927392,104.6236007,101.224983,24.32030121,24.93762135
Ga0401699_0002077_91_13761_dynein light chain binding,168.0852576,149.9245412,116.4535202,25.75090717,24.93762135
Ga0401699_0002102_29_13873_leucine-rich repeat extensin-like protein,239.3941548,101.3878192,127.2030759,0,1.719835955
Ga0401699_0002103_89_13921_Cadherin domain,99.32310679,51.77250342,58.22676012,0,0
Ga0401699_0002104_179_13921_dynein light chain binding,89.98503692,99.23063155,79.72587155,17.16727145,12.03885169
Ga0401699_0002111_36_13646_Protein of unknown function DUF3645,54.33058833,80.89453659,25.08229667,150.2136251,212.3997405
Ga0401699_0002148_85_13608_dynein light chain binding,62.81974275,76.58016131,92.26701988,4.291817861,0.859917978
Ga0401699_0002203_3_13733_cytoskeletal protein binding,31.40987138,17.25750114,25.97809298,0,0
Ga0401699_0002213_219_13742_,73.00672807,45.30094049,104.8081682,3.576514884,3.43967191
Ga0401699_0002224_267_13352_positive regulation of caveolin-mediated endocytosis,44.99251846,50.6939096,68.08051952,2.145908931,2.579753933
Ga0401699_0002258_148_13479_pyrroloquinoline quinone binding,25.46746328,33.43640846,63.60153797,2.145908931,5.159507865
Ga0401699_0002281_221_13630_dynein light chain binding,83.19371338,39.90797139,38.51924131,0.715302977,6.019425843
Ga0401699_0002299_77_13489_dynein light chain binding,112.9057539,83.05172424,72.55950107,6.437726792,9.459097753
Ga0401699_0002334_4566_6593_OmpA family,26.31637872,33.43640846,47.4772044,209.5837722,148.7658101
Ga0401699_0002371_44_13348_Thrombospondin type 1 repeats,812.4120786,874.739589,686.1799731,109.4413555,174.5633494
Ga0401699_0002448_186_13346_Source PGD,90.83395236,49.61531578,77.03848262,2.861211908,3.43967191
Ga0401699_0002467_6612_7886_protein transport,11.8848162,10.78593821,14.33274095,79.39863044,45.57565281
Ga0401699_0002564_50_12946_dynein light chain binding,46.69034934,31.27922082,85.1006494,0.715302977,1.719835955
Ga0401699_0002572_180_13052_dynein light chain binding,50.93492656,43.14375285,82.41326047,6.437726792,1.719835955
Ga0401699_0002577_2_12994_dynein light chain binding,30.56095593,35.5935961,56.4351675,0.715302977,1.719835955
Ga0401699_0002598_276_5234_dynein heavy chain. Source PGD,28.01420961,28.04343935,43.89401917,3.576514884,3.43967191
Ga0401699_0002598_5192_12976_dynein heavy chain. Source PGD,33.10770226,31.27922082,52.85198226,2.145908931,0
Ga0401699_0002654_443_13030_Fibronectin type 3 domain,55.17950377,52.85109724,36.72764869,1.430605954,0
Ga0401699_0002782_3_12848_cytoskeletal protein binding,101.0209377,72.26578602,42.10242655,5.722423815,4.299589888
Ga0401699_0002797_169_12705_dynein light chain binding,37.35227948,57.16547253,75.24689,5.007120838,3.43967191
Ga0401699_0002811_242_12685_dynein light chain binding,87.43829059,98.15203773,139.7442243,9.2989387,3.43967191
Ga0401699_0002829_11643_12260_Belongs to the complex I subunit 6 family,57.7262501,84.13031806,59.12255643,0,0
Ga0401699_0002829_1277_1939_One of the primary rRNA binding proteins_ it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit,11.8848162,8.62875057,18.8117225,0,0
Ga0401699_0002829_1940_2560_Belongs to the universal ribosomal protein uS2 family,11.8848162,10.78593821,14.33274095,0,0
Ga0401699_0002829_3_1148_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient,60.27299643,70.10859838,59.12255643,0.715302977,0.859917978
Ga0401699_0002829_5406_6878_Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase Complex I that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone By similarity,111.207923,149.9245412,122.7240944,2.861211908,0
Ga0401699_0002829_9453_11579_NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit chain G,201.1929599,197.3826693,137.9526317,1.430605954,4.299589888
Ga0401699_0002875_189_9872_metalloendopeptidase activity,999.173476,716.1862973,752.4689,168.0961996,165.1042517
Ga0401699_0002939_181_12378_dynein light chain binding,122.2438237,125.1168833,100.3291867,17.88257442,24.07770337
Ga0401699_0002981_148_12339_Dynein heavy chain. Source PGD,51.783842,52.85109724,87.78803833,5.007120838,6.879343821
Ga0401699_0003035_361_12390_P-loop containing dynein motor region D4,47.53926479,50.6939096,68.08051952,7.868332746,6.019425843
Ga0401699_0003067_1515_3452_Acts as a processive_ ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins,101.0209377,94.91625627,38.51924131,119.4555971,146.1860562
Ga0401699_0003079_132_12362_,102.7187686,60.40125399,71.66370476,0.715302977,0
Ga0401699_0003192_13_12273_ATPase activity,12.73373164,20.4932826,30.45707452,3.576514884,0.859917978
Ga0401699_0003268_2_12169_MAC/Perforin domain,169.7830885,94.91625627,163.9307246,21.45908931,6.019425843
Ga0401699_0003342_3_9245_negative regulation of phosphatase activity,81.49588249,57.16547253,51.06038964,8.583635723,6.019425843
Ga0401699_0003388_11119_11478_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient,23.76963239,25.88625171,23.29070405,1.430605954,2.579753933
Ga0401699_0003388_211_1380_Component of the ubiquinol-cytochrome c reductase complex complex III or cytochrome b-c1 complex that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis,151.9558642,236.2120469,218.5742995,7.153029769,0.859917978
Ga0401699_0003388_3297_4067_One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome_ for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity,16.97830885,14.02171968,20.60331512,0,0
